MATERIAL TYPE,PRICE/TON,Ft3,,,,,,,,,,,
Washed Pea Gravel,$27.00/ton,20.833,,,,,,,,,,,
"3/4"" Washed Gravel (River Rock)",$55.00/ton,20.833,,,,,,,,,,,
"1 1/2"" Washed Gravel (River Rock)",$65.00/ton,20.833,,,,,,,,,,,
"White Rock, CM11, 5/8"" – 1""",$55.00/ton,20.833,,,,,,,,,,,
3⁄8 Chipped White Rock,$50.00/ton,20.833,,,,,,,,,,,
"Oversized Washed Gravel 2""-6""",$70.00/ton,8.333,,,,,,,,,,,
"CA 6 Gravel Mix 1"" or less",$52.00/ton,20.833,,,,,,,,,,,
"CA 6 Gravel Mix 1/2"" or less",$52.00/ton,20.833,,,,,,,,,,,
Mason Sand,$31.00/ton,20.833,,,,,,,,,,,
Torpedo Sand,$25.00/ton,20.833,,,,,,,,,,,
Cherry Creek Pebbles,$225.00/ton,20.833,,,,,,,,,,,
Dusty Rose,$195.00/ton,20.833,,,,,,,,,,,
Merrimac,$115.00/ton,20.833,,,,,,,,,,,
Trap Rock 3/4,$130.00/ton,18.333,,,,,,,,,,,
Trap Rock 1 1/2 inch,$130.00/ton,20.833,,,,,,,,,,,
Stone Bark,$275.00/ton,37.5,,,,,,,,,,,
Topsoil,$40.00/ton,20.833,,,,,,,,,,,
Blended Topsoil,$65.00/ton,20.833,,,,,,,,,,,
"FILL DIRT/ ""Fill Soil"" (not topsoil)",$18.00/ton,20.833,,,,,,,,,,,
Hardwood Bark Mulch,$168.00/ton,83.333,,,,,,,,,,,
**Kiddie Kushion Mulch,$195/ton,100,,,,,,,,,,,
**Pine Bark Fines,$225/ton,tba,,,,,,,,,,,
Brown-Dyed Hardwood Mulch,$175.00/ton,83.333,,,,,,,,,,,
Red-Dyed Hardwood Mulch,$175.00/ton,83.333,,,,,,,,,,,
Mushroom Compost,$70.00/ton,33.333,,,,,,,,,,,
Better Earth Compost,$70.00/ton,33.333,,,,,,,,,,,
4-8” Rip Rap,$60.00/ton,17.5,,,,,,,,,,,
"3/4"" Black Granite",$215/ton,20,,,,,,,,,,,
Cedar Mulch,$348/ton,166.666,,,,,,,,,,,
